0.0002,0.177
0.0005,0.153
0.001,0.132
0.0015,0.1133
0.002,0.0975
0.0025,0.084
0.003,0.0725
0.0035,0.0628
0.004,0.0547
0.0045,0.0477
0.005,0.0418
0.0055,0.0368
0.006,0.0325
0.0065,0.0288
0.007,0.0255
0.0075,0.0228
0.008,0.0204
0.0085,0.0183
0.009,0.0165
0.0095,0.0149
0.01,0.0134
0.0105,0.01218
0.011,0.01108
0.0115,0.0101
0.012,0.00921
0.0125,0.00845
0.013,0.00773
0.0135,0.00712
0.014,0.00656
0.0145,0.00604
0.015,0.00555
0.0155,0.00517
0.016,0.00477
0.0165,0.00442
0.017,0.00411
0.0175,0.00382
0.018,0.00355
0.0185,0.00329
0.019,0.00305
0.0195,0.00286
0.02,0.00267
